accident_year,dev0,dev1,dev2,dev3,dev4,dev5,dev6,dev7,dev8,dev9
1,357848,1124788,1735330,2218270,2745596,3319994,3466336,3606286,3833515,3901463
2,352118,1236139,2170033,3353322,3799067,4120063,4647867,4914039,5339085,
3,290507,1292306,2218525,3235179,3985995,4132918,4628910,4909315,,
4,310608,1418858,2195047,3757447,4029929,4381982,4588268,,,
5,443160,1136350,2128333,2897821,3402672,3873311,,,,
6,396132,1333217,2180715,2985752,3691712,,,,,
7,440832,1288463,2419861,3483130,,,,,,
8,359480,1421128,2864498,,,,,,,
9,376686,1363294,,,,,,,,
10,344014,,,,,,,,,
